country_name,country_code,year,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary,primary_completion_rate,lower_secondary_completion_rate,literacy_rate,government_expenditure_education_gdp,government_expenditure_education_gov,government_expenditure_per_student_secondary,children_out_of_school_total,children_out_of_school_female,children_out_of_school_male,gender_parity_index,gdp_per_capita,life_expectancy,urban_population,population,available_indicator_count,missing_indicator_count,data_completeness_pct,primary_secondary_enrollment_gap,secondary_tertiary_enrollment_gap,completion_gap_primary_lower_secondary,out_of_school_gender_gap,out_of_school_female_share,out_of_school_male_share,out_of_school_per_100k_population,gdp_per_capita_log,population_log,gender_parity_score,education_access_score,development_context_score
Brunei Darussalam,BRN,2001,110.13542175293,84.982307434082,14.6684103012085,122.554916381836,103.541946411133,92.6699981689453,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.977370023727417,18287.8272281914,74.209,71.657883335906,333345.0,17,0,100.0,25.153114318848,70.3138971328735,19.012969970703,-124.00000000000011,45.6884561891516,54.311543810848406,431.38490152844656,9.814045618399136,12.716936268574182,97.7370023727417,84.29395975385394,90.9090909090909
Brunei Darussalam,BRN,2002,112.115310668945,86.768928527832,14.1154699325562,119.12052154541,103.541946411133,93.01199798583984,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.973049998283386,18621.2922577525,74.365,72.1021556496525,340099.0,17,0,100.0,25.346382141113,72.65345859527581,15.578575134277004,-124.00000000000011,45.6884561891516,54.311543810848406,422.8180617996524,9.83211465054466,12.736994970995289,97.3049998283386,84.45734232493808,90.9090909090909
Brunei Darussalam,BRN,2003,116.92626953125,87.8041305541992,14.257490158081,121.753967285156,103.541946411133,93.35399780273436,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.97886997461319,20677.9001143188,74.509,72.577635652792,346637.0,17,0,100.0,29.122138977050795,73.5466403961182,18.212020874023,-124.00000000000011,45.6884561891516,54.311543810848406,414.8431933117354,9.936869141246568,12.756036286722557,97.886997461319,84.75751656804765,90.9090909090909
Brunei Darussalam,BRN,2004,119.105339050293,90.8928298950195,15.1707801818848,115.231391906738,103.541946411133,93.69599761962888,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.972670018672943,24423.0946995548,74.603,73.0675067339261,352911.0,17,0,100.0,28.21250915527349,75.72204971313471,11.689445495605,-124.00000000000011,45.6884561891516,54.311543810848406,407.46817186202753,10.10332541172274,12.773974013052367,97.2670018672943,85.28951565197535,90.9090909090909
Brunei Darussalam,BRN,2005,119.844757080078,93.6873092651367,15.2498598098755,113.22477722168,102.036842346191,94.0379974365234,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.972459971904755,29386.2703822862,74.683,73.552870858133,358916.0,17,0,100.0,26.157447814941293,78.4374494552612,11.187934875489006,-124.00000000000011,45.6884561891516,54.311543810848406,400.6508486665404,10.288316879369436,12.790846442968505,97.24599719047548,85.74588052885873,90.9090909090909
Brunei Darussalam,BRN,2006,121.505966186523,97.5592575073242,15.2068796157837,115.946067810059,103.717422485352,94.37999725341794,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.978129982948303,34674.7995236452,74.753,74.0148299904911,364663.0,17,0,100.0,23.946708679198792,82.3523778915405,12.228645324707005,-124.00000000000011,45.6884561891516,54.311543810848406,394.33668894294186,10.45379730255658,12.806731660654956,97.8129982948303,86.42273323876518,93.93939393939394
Brunei Darussalam,BRN,2007,122.321258544922,98.3408584594727,15.4847002029419,118.802337646484,105.666870117188,94.72199707031248,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.982819974422455,36217.3290706015,74.793,74.4344860960786,370873.0,17,0,100.0,23.980400085449304,82.8561582565308,13.135467529296008,-124.00000000000011,45.6884561891516,54.311543810848406,387.73380645126497,10.497320597590305,12.823617661263231,98.2819974422455,86.68993616785323,87.87878787878788
Brunei Darussalam,BRN,2008,116.783126831055,98.7723617553711,15.7385101318359,115.731391906738,105.062149047852,95.063996887207,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.987770020961761,42156.5685838672,74.814,74.7929411399737,377793.0,17,0,100.0,18.010765075683906,83.0338516235352,10.669242858885994,-124.00000000000011,45.6884561891516,54.311543810848406,380.6317216041589,10.649169510391554,12.842104352504697,98.7770020961761,86.90741012437002,90.90909090909092
Brunei Darussalam,BRN,2009,112.532432556152,100.720039367676,16.5658493041992,110.637649536133,119.488250732422,95.40599670410154,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,0.99329000711441,30946.4673773828,74.814,75.0712970872547,384952.0,17,0,100.0,11.812393188476008,84.15419006347679,-8.850601196289006,-124.00000000000011,45.6884561891516,54.311543810848406,373.55306635632496,10.340046445277704,12.860876527895726,99.329000711441,87.32869238853455,87.87878787878788
Brunei Darussalam,BRN,2010,108.70580714953,101.011688232422,15.3331604003906,111.762081784387,109.028084105279,95.74799652099608,1.84384000301361,5.30208015441895,7.6387,1438.0,657.0,781.0000000000001,1.00109994411469,34937.5555357155,74.82,75.2506559029998,392332.0,17,0,100.0,7.694118917108,85.6785278320314,2.7339976791079863,-124.00000000000011,45.6884561891516,54.311543810848406,366.52630935024416,10.46134624155458,12.87986624795627,99.890005588531,87.28159464427395,84.84848484848484
