Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.13542175293,112.115310668945,116.92626953125,119.105339050293,119.844757080078,121.505966186523,122.321258544922,116.783126831055,112.532432556152,108.70580714953,104.830894583323,103.310538143682,103.895142180095,103.847709576297,104.185794604632,105.726377387079,104.567053854277,104.179996298549,103.033008586959,102.709633966272,101.387926832397,99.134912983916,96.9292188716198,94.8207871800668,..
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.982307434082,86.768928527832,87.8041305541992,90.8928298950195,93.6873092651367,97.5592575073242,98.3408584594727,98.7723617553711,100.720039367676,101.011688232422,102.111122131348,105.229759216309,102.392692565918,96.2848663330078,92.8161697387695,90.0986175537109,88.6814727783203,89.1818084716797,88.2910308837891,86.6857810342997,..,..,91.8381544399811,..,..
Brunei Darussalam,BRN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,14.6684103012085,14.1154699325562,14.257490158081,15.1707801818848,15.2498598098755,15.2068796157837,15.4847002029419,15.7385101318359,16.5658493041992,15.3331604003906,17.4244594573975,22.0733509063721,23.4649200439453,30.0799102783203,28.6641292572021,28.6644096374512,31.2433910195239,27.9285989469629,27.7715019255456,27.4692556634304,27.4258937503291,31.1925368707703,36.4182725443167,..,..
Brunei Darussalam,BRN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,122.554916381836,119.12052154541,121.753967285156,115.231391906738,113.22477722168,115.946067810059,118.802337646484,115.731391906738,110.637649536133,111.762081784387,111.028993746447,103.19944598338,103.014509085787,97.0102505694761,98.8262570641936,102.815448113208,103.848494067539,106.125039669946,100.955518945634,104.65599822998,..,..,101.681320376369,99.3799153055051,..
Brunei Darussalam,BRN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,103.541946411133,102.036842346191,103.717422485352,105.666870117188,105.062149047852,119.488250732422,109.028084105279,104.513235932301,106.267846944603,107.734959800388,101.07275477926,100.434721637919,97.9557069846678,98.8588762097357,100.982837025084,103.043149129447,108.19075012207,..,..,99.4726749760307,104.975767366721,..
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,92.6699981689453,..,..,..,..,..,..,..,..,..,96.0899963378906,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,1.84384000301361,3.32213997840881,2.88964009284973,..,3.35321998596191,..,4.42539978027344,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,5.30208015441895,9.18218994140625,9.72642040252686,..,9.98460006713867,..,11.4419498443603,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,7.6387,..,..,..,10.13979,..,23.64457,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,1239.10797442957,638.279053420803,866.047337837197,479.078734793184,295.285121280322,627.134494632373,597.517495205015,615.161159811192,573.709801409357,422.650408620058,700.859676659871,371.363528071262,232.895606966471,1438,..
Brunei Darussalam,BRN,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,657,..
Brunei Darussalam,BRN,"Children out of school, primary, male",SE.PRM.UNER.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,781,..
Brunei Darussalam,BRN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.977370023727417,0.973049998283386,0.97886997461319,0.972670018672943,0.972459971904755,0.978129982948303,0.982819974422455,0.987770020961761,0.99329000711441,1.00109994411469,0.998149991035461,1.0095499753952,1.01909005641937,1.01016998291016,0.998702049255371,1.01419997215271,1.01496005058289,1.01620995998383,1.02144002914429,1.01873004436493,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,18287.8272281914,18621.2922577525,20677.9001143188,24423.0946995548,29386.2703822862,34674.7995236452,36217.3290706015,42156.5685838672,30946.4673773828,34937.5555357155,46382.8274255349,46968.5971164922,44003.0644273461,41026.5084247957,30625.1287744656,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019,33153.4738913513,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.209,74.365,74.509,74.603,74.683,74.753,74.793,74.814,74.814,74.82,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,75.501,..
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.657883335906,72.1021556496525,72.577635652792,73.0675067339261,73.552870858133,74.0148299904911,74.4344860960786,74.7929411399737,75.0712970872547,75.2506559029998,75.312125504778,75.2714233503027,75.1756915148608,75.0572639801502,74.9484620568562,74.8816070556641,74.8476440654983,74.8172471714305,74.7923311783673,74.7748108912151,74.7667316936175,74.7772642014221,74.8199193881365,74.8983133873697,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721,..
Cambodia,KHM,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.342948913574,123.66854095459,126.512390136719,129.020355224609,129.551315307617,128.404861450195,127.717086791992,124.066017150879,123.781600952148,123.357803344727,118.762440557356,115.41843697639,115.808136523857,108.942219609284,103.759672683505,101.734266788056,100.69503505776,99.6739108443274,100.480819545412,107.021018981934,105.282475574163,106.331544381276,107.039014463223,108.971332849667,..
Cambodia,KHM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.176570892334,23.8959407806396,27.8392200469971,30.9775104522705,..,39.1435394287109,41.7365608215332,44.2504997253418,..,..,..,..,..,..,..,..,48.9424458707368,50.199099715459,49.7344518908574,51.8196983337402,54.2809323078227,55.1346812645406,56.7864734981041,58.7893230437643,..
Cambodia,KHM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,1.97913002967834,2.33661007881165,3.01460003852844,3.07344007492065,3.77035999298096,6.20005989074707,7.67417001724243,8.92994976043701,10.6747398376465,12.1998596191406,11.4902860215331,..,..,..,13.615484963166,..,12.5181529981862,13.2671737077763,12.9409846754696,13.8767573747135,13.5005634857238,14.6069513022825,17.4362364390629,21.4437426836662,..
Cambodia,KHM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,50.5637016296387,59.0100212097168,65.0223922729492,77.0745162963867,87.1148071289062,89.2925796508789,89.4033584594727,86.4525985717773,86.5820083618164,88.2063369750977,88.5418370843847,91.9260955834766,92.4834012591547,93.364176038365,88.9599432999523,85.2297273060017,83.9456029334234,80.244617834389,81.4103628494242,89.3599624633789,90.234069720081,87.2572415781805,87.630151233724,90.9948884997473,..
Cambodia,KHM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,17.2120304107666,24.1957397460938,28.1273097991943,30.435489654541,33.8774909973145,36.4206581115723,41.3929481506348,46.2840194702148,..,49.2645988464355,46.7198675033048,46.1269260563941,44.7616163254161,45.3190354475024,47.4980851157655,46.6690204592374,51.4051946220451,53.3337928219134,52.2038558780602,53.9525108337402,53.6632243410972,57.9780116047917,58.5358420192013,61.5710216815543,..
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,73.6100006103516,..,..,..,76.870002746582,76.1399993896484,..,..,..,79.6500015258789,78.0599975585938,80.5299987792969,..,..,..,87.6600036621094,82.5510430822563,71.9300003051758,..,..,..,..
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.6550600528717,1.62863004207611,..,1.56035995483398,..,..,1.36423003673553,..,1.38576996326447,1.24872994422913,1.20887994766235,1.23062002658844,1.57648003101349,1.44690001010895,..,..,..,1.60336995124817,2.13345387893978,2.2476462495972,1.96232691812756,1.95793279576416,2.1809128340295,..,..
Cambodia,KHM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.3807897567749,10.1375703811646,..,12.4043102264404,..,..,11.1035099029541,..,8.16524028778076,7.33747005462646,7.33540010452271,7.19985008239746,9.59706974029541,8.79160022735596,..,..,..,9.97500991821289,12.1311067347546,11.0687719907488,9.34959951214734,11.6742808441972,12.0143851118856,11.233932287853,11.5512463566271
Cambodia,KHM,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,6.05226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Children out of school, primary",SE.PRM.UNER,..,..,89285,..,..,103853,81760,93303,..,124229,25105,47785,..,166042,160776,199386,229625,222356,188935,190883,223795.998046875,320435.012695312,159915.60865639,76741.0456542969,..
Cambodia,KHM,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,65790,..,..,57770,54945,57441,..,62141,..,35178,..,83645,62580,97285,116767,111501,94591,97920,108395.981201172,149082.000366211,84300.8250935406,46902.0029296875,..
Cambodia,KHM,"Children out of school, primary, male",SE.PRM.UNER.MA,..,..,23495,..,..,46083,26815,35862,..,62088,..,12607,..,82397,98196,102101,112858,110855,94344,92963,115400.016845703,171353.012329102,75614.78356285,29839.0427246094,..
Cambodia,KHM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.835860013961792,0.848770022392273,0.860019981861115,0.876280009746552,..,0.899569988250732,0.903710007667542,0.91483998298645,..,..,..,..,..,..,..,..,..,..,..,1.00029003620148,1.03767263889313,..,..,..,..
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,327.500984314444,350.147276634294,386.691123931778,444.199067529081,525.797325120926,612.252648550727,731.692295125426,866.283999789749,875.748936193569,952.274616324008,1088.98152823081,1192.80263041673,1305.6600972686,1431.56396469993,1547.32010444393,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.87969756224,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.457,61.395,62.345,63.256,64.113,64.886,65.549,66.147,66.747,67.311,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,70.817,..
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.7186818716995,18.803641734126,18.8881765274479,18.9813615262763,19.0922720052225,19.2299832388976,19.4035705019128,19.6574509865325,20.1979728726519,21.1232251168762,22.3824788531276,23.9411047582349,25.7644735090271,27.8179557823331,30.0669222549819,32.4767436038024,35.0127905056235,37.6404336372742,39.5830241256026,39.832658030922,40.1091858128847,40.374616187368,40.6290788072508,40.8727033252729,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801,..
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,109.43041229248,110.116897583008,110.176658630371,109.678840637207,109.01708984375,107.672538757324,110.421722412109,109.333679199219,110.992286682129,113.010775075983,114.684137554242,115.201069565404,111.656675108204,109.659608599994,107.983525766989,105.922391949136,104.382521256166,103.299542869882,101.264685825869,100.951933675872,100.309665446849,98.7008730463611,98.1566275726904,100.036318150714,100.371428697375
Indonesia,IDN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,56.2273216247559,57.646598815918,60.7244682312012,62.9758682250977,61.6382789611816,64.6422119140625,71.8545074462891,70.1684417724609,74.5035934448242,75.6519088745117,78.1330718994141,80.0926818847656,81.8896974781343,83.5559949258569,87.8423207929976,87.8191791728036,90.9455391241064,92.8120739600443,94.9467044891028,96.9345779132931,97.8441479813619,97.8167602714893,96.0002120295081,98.836444459078,97.1701841816
